Var1	Var2	value	pval	adjp	pair
hsa-miR-223-3p	LYZ	0.289072860411091	5.06547375600519e-06	0.0493742654255369	hsa-miR-223-3p LYZ
hsa-miR-1-3p	AARS	0.313944824236764	6.53349095269817e-07	0.0211352944187386	hsa-miR-1-3p AARS
hsa-miR-1264	AARS	-0.30100975414284	1.94094407945933e-06	0.032823608646812	hsa-miR-1264 AARS
hsa-miR-129-1-3p	AARS	0.29632231798913	2.84343648848662e-06	0.0384095006867769	hsa-miR-129-1-3p AARS
hsa-miR-133a-3p	AARS	0.327625233868283	1.95035645189634e-07	0.0116306870465397	hsa-miR-133a-3p AARS
hsa-miR-448	AARS	-0.298576129794892	2.36849299106723e-06	0.0353870762846955	hsa-miR-448 AARS
hsa-miR-383-5p	TNRC6A	-0.289940552412109	4.73114190779889e-06	0.0479990710531649	hsa-miR-383-5p TNRC6A
hsa-miR-362-5p	EXOC1	-0.29131796418468	4.24317148306486e-06	0.046154694949156	hsa-miR-362-5p EXOC1
hsa-miR-31-5p	RAPGEF4	-0.291879761178021	4.05823906168834e-06	0.045109362761681	hsa-miR-31-5p RAPGEF4
hsa-miR-448	RAPGEF4	0.328289294939584	1.83638450668155e-07	0.01131401324664	hsa-miR-448 RAPGEF4
hsa-miR-1224-3p	ORC6	-0.293030346574685	3.70316619680011e-06	0.0433950700415135	hsa-miR-1224-3p ORC6
hsa-miR-6763-3p	ZFHX4	-0.303422994884175	1.59037618852054e-06	0.0308152068808323	hsa-miR-6763-3p ZFHX4
hsa-miR-1908-3p	SCFD1	0.30452415180553	1.4513278516759e-06	0.0293432730539499	hsa-miR-1908-3p SCFD1
hsa-miR-3162-3p	SCFD1	0.299268738008039	2.23844225422098e-06	0.0349573852708888	hsa-miR-3162-3p SCFD1
hsa-miR-6836-5p	SCFD1	0.307722082437465	1.11031955674079e-06	0.026196015417109	hsa-miR-6836-5p SCFD1
hsa-miR-1-3p	CRTAC1	0.293736165221091	3.50021129058575e-06	0.0422946779888343	hsa-miR-1-3p CRTAC1
hsa-miR-15a-5p	WAC	0.292397247061019	3.89470568884498e-06	0.0443433140405223	hsa-miR-15a-5p WAC
hsa-miR-4791	TMEM14A	0.297659428003807	2.55173826424482e-06	0.0367573871321403	hsa-miR-4791 TMEM14A
hsa-miR-15a-5p	TIMM13	-0.28921956367286	5.00741096187696e-06	0.0493428532959348	hsa-miR-15a-5p TIMM13
hsa-miR-7-1-3p	TIMM13	-0.292834663309031	3.76138915791913e-06	0.0436422777396776	hsa-miR-7-1-3p TIMM13
hsa-miR-1264	SPECC1L	-0.303013037123736	1.64532389024252e-06	0.0311516655887077	hsa-miR-1264 SPECC1L
hsa-miR-34a-5p	SPECC1L	0.323885881155274	2.73029842512429e-07	0.0132106842780909	hsa-miR-34a-5p SPECC1L
hsa-miR-511-5p	SPECC1L	0.292176665375629	3.96363025245705e-06	0.0446704440152869	hsa-miR-511-5p SPECC1L
hsa-miR-133a-5p	YPEL1	-0.310739735861198	8.59848763967719e-07	0.023722602846629	hsa-miR-133a-5p YPEL1
hsa-miR-31-5p	YPEL1	-0.301842577795759	1.8123605241005e-06	0.0321187137074539	hsa-miR-31-5p YPEL1
hsa-miR-1-3p	NEFH	0.40803343163264	4.38284963877322e-11	0.000228360192369603	hsa-miR-1-3p NEFH
hsa-miR-1264	NEFH	-0.32510634112888	2.44761151568795e-07	0.012712092563574	hsa-miR-1264 NEFH
hsa-miR-1298-3p	NEFH	-0.332309266009991	1.2715317665446e-07	0.00916977362825595	hsa-miR-1298-3p NEFH
hsa-miR-133a-3p	NEFH	0.343762484803071	4.333309489013e-08	0.00545140252181777	hsa-miR-133a-3p NEFH
hsa-miR-133a-5p	NEFH	0.310453832304763	8.81036686717351e-07	0.0239215320397394	hsa-miR-133a-5p NEFH
hsa-miR-133b	NEFH	0.324087821575366	2.6814542497533e-07	0.0131799302300074	hsa-miR-133b NEFH
hsa-miR-193b-3p	NEFH	-0.302004348017486	1.78834606745504e-06	0.0319655388868265	hsa-miR-193b-3p NEFH
hsa-miR-31-5p	NEFH	0.331229357493102	1.40422435013221e-07	0.00935230433083118	hsa-miR-31-5p NEFH
hsa-miR-34a-5p	NEFH	0.368268245605606	3.72760533551286e-09	0.00150731126769199	hsa-miR-34a-5p NEFH
hsa-miR-448	NEFH	-0.360033475065025	8.70066863001284e-09	0.00215952415855157	hsa-miR-448 NEFH
hsa-miR-30d-5p	PNPLA3	-0.290899939015623	4.38595455509727e-06	0.0466874635632213	hsa-miR-30d-5p PNPLA3
hsa-miR-6763-3p	TNRC6B	-0.33966811793419	6.39916701850041e-08	0.00638413713028153	hsa-miR-6763-3p TNRC6B
hsa-miR-6836-5p	TNRC6B	-0.306285582031501	1.25275935403124e-06	0.0277892437766083	hsa-miR-6836-5p TNRC6B
hsa-miR-1-3p	PVALB	0.370668226598506	2.8985001065962e-09	0.00130946004743627	hsa-miR-1-3p PVALB
hsa-miR-1264	PVALB	-0.29454243746552	3.28134209781616e-06	0.0409614456316943	hsa-miR-1264 PVALB
hsa-miR-133a-3p	PVALB	0.31431661528799	6.32729964866741e-07	0.0206452420881671	hsa-miR-133a-3p PVALB
hsa-miR-133a-5p	PVALB	0.29766220479511	2.55116330549754e-06	0.0367573871321403	hsa-miR-133a-5p PVALB
hsa-miR-137-3p	PVALB	-0.327357784732575	1.99815160417671e-07	0.0116844869520196	hsa-miR-137-3p PVALB
hsa-miR-448	PVALB	-0.306584874615617	1.22171252447956e-06	0.0274278920277932	hsa-miR-448 PVALB
hsa-miR-582-5p	PVALB	-0.313187428775374	6.97361621559978e-07	0.0215140924681093	hsa-miR-582-5p PVALB
hsa-miR-7-5p	COCH	0.308310792935122	1.05653724880028e-06	0.0257850171015972	hsa-miR-7-5p COCH
hsa-miR-362-5p	ATP6V1D	-0.322209193588679	3.17017016193688e-07	0.0144702958807271	hsa-miR-362-5p ATP6V1D
hsa-miR-362-5p	PSMA3	-0.297434543552845	2.59871508445642e-06	0.0371008258064003	hsa-miR-362-5p PSMA3
hsa-miR-31-5p	CHGA	0.288967311759345	5.10764388383933e-06	0.0495542384125698	hsa-miR-31-5p CHGA
hsa-miR-448	CHGA	-0.358479232199511	1.01828758758415e-08	0.00217533242148506	hsa-miR-448 CHGA
hsa-miR-129-1-3p	TM9SF1	0.291643252243301	4.13513774222274e-06	0.0456769574203129	hsa-miR-129-1-3p TM9SF1
hsa-miR-1273h-3p	NKAIN4	-0.296272468725012	2.85490375517838e-06	0.0384095006867769	hsa-miR-1273h-3p NKAIN4
hsa-miR-7-1-3p	C20orf27	-0.290852799386435	4.40233984910776e-06	0.0467143380071293	hsa-miR-7-1-3p C20orf27
hsa-miR-214-5p	SEC23B	-0.291025635694078	4.34254690651059e-06	0.0464384352109095	hsa-miR-214-5p SEC23B
hsa-miR-1-3p	PLCB4	0.330720756889154	1.4712352092161e-07	0.00968466750767315	hsa-miR-1-3p PLCB4
hsa-miR-30a-3p	PLCB4	0.30170133062108	1.83357988570165e-06	0.0322362875518176	hsa-miR-30a-3p PLCB4
hsa-miR-30a-3p	STS	0.308410531897519	1.04767590358712e-06	0.0257850171015972	hsa-miR-30a-3p STS
hsa-miR-448	PGRMC1	0.294634684161353	3.25714927207343e-06	0.0408848281941968	hsa-miR-448 PGRMC1
hsa-miR-31-5p	GLRA2	-0.311203565341153	8.26508494089495e-07	0.0232783567931121	hsa-miR-31-5p GLRA2
hsa-miR-1298-3p	FGF9	-0.324213753497142	2.65142030775323e-07	0.0131799302300074	hsa-miR-1298-3p FGF9
